,city,city_id,country,max_temperature,wind_speed,Cloudiness,Longitude,Latitude,Humidity
306,Marzuq,72181,YE,57.43,4.16,16,46.47,14.4,56
307,Berdigestyakh,2026861,RU,-11.97,1.43,83,126.7,62.1,89
308,Wahiawā,5853992,US,82.4,5.82,75,-158.02,21.5,83
309,São Filipe,3374210,CV,75.43,12.73,100,-24.5,14.9,75
310,Fukuechō,1863997,JP,51.8,13.87,75,128.84,32.69,53
311,Souillac,933995,MU,73.4,4.7,20,57.52,-20.52,88
312,Maniitsoq,3421982,GL,22.98,9.91,56,-52.9,65.42,89
313,Kasongo-Lunda,2315026,CD,69.71,1.1,100,16.82,-6.47,93
314,Kidal,2455290,ML,69.06,9.24,5,1.41,18.44,34
315,Nsanje,924572,MW,72.81,2.93,62,35.26,-16.92,94
316,Mackay,2159220,AU,86.0,12.75,75,149.2,-21.15,70
317,Ahipara,2194098,NZ,73.2,12.88,3,173.17,-35.17,68
318,Pyn U Lwin,1309937,MM,60.8,2.86,26,96.47,22.03,87
319,Praia da Vitória,3372760,PT,59.0,7.63,75,-27.07,38.73,77
320,Sungai Raya,1625908,ID,85.93,9.89,85,108.9,0.7,72
321,Los Llanos de Aridane,2514651,ES,64.4,9.17,40,-17.92,28.66,72
322,Visnes,3131500,NO,48.99,19.46,98,5.22,59.36,66
323,Kawalu,1640902,ID,88.39,1.59,14,108.21,-7.38,46
324,Gumdag,161943,TM,29.35,18.95,86,54.59,39.21,77
325,Aswān,359792,EG,63.57,1.66,0,32.91,24.09,36
326,Kushima,1895695,JP,60.8,11.41,40,131.23,31.46,51
327,Taoudenni,2450173,ML,58.12,14.34,5,-3.98,22.68,34
328,St. George's,3579925,GD,78.8,11.41,20,-61.75,12.06,78
329,Shimoda,1852357,JP,60.8,10.29,75,138.95,34.67,59
330,Kharan,1174062,PK,58.66,3.62,24,65.42,28.58,84
331,Assiut,359783,EG,55.4,4.7,0,31.18,27.18,62
332,Sola,2134814,VU,82.6,4.41,98,167.55,-13.88,73
333,Waiouru,2180063,NZ,60.33,11.43,95,175.67,-39.48,85
334,Mlyniv,700964,UA,28.0,16.98,79,25.62,50.51,93
335,Usinsk,863061,RU,24.39,4.16,93,57.53,65.99,98
336,Nauta,3692020,PE,73.42,2.44,99,-73.58,-4.51,96
337,Haines Junction,5969025,CA,33.8,8.05,45,-137.51,60.75,80
338,Novikovo,487928,RU,17.92,12.03,0,37.89,51.15,87
339,Arrondissement de Gap,3016701,FR,35.01,1.99,100,6.0,44.67,73
340,Kaura Namoda,2334756,NG,73.11,9.01,38,6.58,12.59,22
341,Skjervøy,777682,NO,32.31,9.42,100,20.97,70.03,87
342,Nantucket,4944903,US,36.0,10.29,40,-70.1,41.28,64
343,Atikokan,5888001,CA,28.15,6.02,100,-91.62,48.76,97
344,Andros Town,3572906,BS,75.2,16.11,40,-77.77,24.7,73
345,Sochi,491422,RU,43.0,5.37,20,39.73,43.6,64
346,San Cristobal,3628473,VE,65.26,1.97,95,-72.22,7.77,87
347,Airai,1651810,TL,75.42,3.15,100,125.41,-8.93,68
348,Bato,1726156,PH,88.79,5.79,92,123.37,13.35,61
349,Noumea,2139521,NC,91.99,9.17,75,166.46,-22.28,49
350,Kavieng,2094342,PG,85.86,6.87,100,150.8,-2.57,65
351,Paka,1734313,MY,78.8,4.7,40,103.44,4.64,88
352,Berezyne,712349,UA,32.22,15.59,100,29.2,46.23,96
353,Sydney Mines,7303783,CA,37.99,10.29,40,-60.22,46.24,86
354,Sombrerete,3982887,MX,46.06,4.23,71,-103.65,23.63,57
355,Waitati,2179825,NZ,61.0,7.0,100,170.57,-45.75,69
356,Morón,3430545,AR,71.01,4.0,0,-58.62,-34.65,79
357,Sainte-Marie,935255,RE,75.2,5.82,0,55.55,-20.9,73
358,Touros,3386213,BR,73.4,2.24,75,-35.46,-5.2,94
359,Jérémie,3723593,HT,77.11,3.87,3,-74.12,18.65,75
360,Lebu,3883457,CL,52.23,5.08,76,-73.65,-37.62,90
361,Iwaki,2112539,JP,55.0,8.99,9,140.88,37.05,49
362,Pennāgaram,1259916,IN,77.0,5.35,40,77.9,12.13,83
363,Gizo Government Station,2108857,SB,84.99,1.81,66,156.84,-8.1,68
364,Plátanos,255030,GR,50.0,5.82,16,21.62,37.67,87
365,Ebebiyin,2309332,GQ,67.12,2.46,51,11.34,2.15,98
366,Leh,1264976,IN,20.79,5.32,60,77.58,34.17,78
367,Marau,3457817,BR,60.1,3.87,4,-52.2,-28.45,96
368,São João da Barra,3448903,BR,75.43,21.9,100,-41.05,-21.64,87
369,Laguna,5364271,US,64.4,6.93,1,-121.42,38.42,29
370,Bandarbeyla,64814,SO,74.32,14.94,43,50.81,9.49,76
371,Enshi,1811720,CN,49.77,2.8,59,109.48,30.3,67
372,Miramar,4164601,US,66.2,12.75,75,-80.23,25.99,82
373,Svetlaya,2015852,RU,21.42,8.39,0,138.33,46.54,77
374,Poço Verde,3453300,BR,68.9,4.97,62,-38.18,-10.71,92
375,Mapastepec,3523590,MX,76.3,5.68,0,-92.9,15.43,65
376,Wu’an,1790847,CN,47.61,4.59,18,112.0,31.68,52
377,Warri,2319133,NG,76.33,2.62,58,5.75,5.52,93
378,Ţahţā,347634,EG,59.0,4.7,0,31.5,26.77,44
379,Belen,321572,TR,53.6,4.7,75,36.22,36.49,81
380,Porbandar,1259395,IN,76.84,7.34,59,69.61,21.64,43
381,Dumai,1645133,ID,87.51,3.2,99,101.45,1.68,62
382,Djebeniana,2470260,TN,48.2,10.29,0,10.91,35.03,57
383,Lakatoro,2136697,VU,86.0,4.7,75,167.42,-16.1,70
384,Mandera,187896,KE,77.07,11.48,15,41.87,3.94,73
385,Te Anau,2181625,NZ,61.88,9.6,36,167.72,-45.42,48
386,Puerto Ayacucho,3629710,VE,75.34,2.8,70,-67.62,5.66,89
387,Olafsvik,3414079,IS,34.23,3.38,100,-23.71,64.89,95
388,Tabou,2281120,CI,78.01,3.89,0,-7.35,4.42,82
389,Ilulissat,3423146,GL,26.6,12.75,100,-51.1,69.22,68
390,Banes,3567869,CU,73.4,4.7,5,-75.72,20.96,94
391,Bartica,3379507,GY,77.0,4.7,75,-58.62,6.4,94
392,São Félix do Xingu,3388847,BR,72.54,1.25,100,-51.99,-6.64,94
393,Davila,1715335,PH,84.2,3.36,75,120.58,18.47,79
394,Iqaluit,5983720,CA,15.8,10.29,90,-68.51,63.75,78
395,Sittwe,1295765,MM,73.0,6.17,61,92.9,20.15,55
396,Havre-St-Pierre,5972291,CA,32.0,12.75,90,-63.6,50.23,91
397,Sioux Lookout,6148373,CA,26.6,11.41,90,-91.92,50.1,92
398,Kupang,2057087,ID,84.2,8.05,75,123.58,-10.17,74
399,Salym,1493162,RU,18.25,4.18,100,71.48,60.06,98
400,Bonavista,5905393,CA,39.99,4.7,84,-53.11,48.65,100
401,Tiarei,4033356,PF,77.0,8.05,75,-149.33,-17.53,83
402,Lüderitz,3355672,NA,61.47,3.13,80,15.16,-26.65,90
403,Port Keats,2063039,AU,90.99,8.39,85,129.55,-14.25,56
404,Amalāpuram,1278935,IN,69.8,5.82,20,82.02,16.58,83
405,Sechura,3691954,PE,70.11,12.86,100,-80.82,-5.56,75
